sample_id,ARBF,type,day,sample_id_old,month_date,sample_date,sampling_week,AR_num,AR,phase,replicate,sampling_event,water_use,extr_date,qubit_clean,qubit_nguL,sterivex_date,sterivex_filtered_vol,bf_total_homog_vol,shear_rpm,pH,conductivity,DO,temp,cl_total,cl_free,FCM_vol,TCC1,TCC2,TCC3,ICC1,ICC2,ICC3,FCM_dilution,ICC_avg,TCC_avg,ICC_cells.mL,TCC_cells.mL,bf_fcm_dilution,bf_TCC1,bf_TCC2,bf_TCC3,bf_ICC1,bf_ICC2,bf_ICC3,bf_TCC_avg,bf_ICCavg (cells/mL),ATPt1,ATPt2,ATPt3,bf_ATPt_avg_nmol.cm2,ATPt_std_RLU,ATPt_avg_RLU,ATPt_avg_nM,ATPe1,ATPe2,ATPe3,ATPe_avg_RLU,bf_ATPe_avg_nmol.cm2,bf_ATPi_avg_nmol.cm2,ATPe_avg_nM,ATPi_avg_nM,flow_rate_mL.min,residence_time_h,length.cm,8/27/2019,9/30/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR5_3,AR,AR,3.00,AR_5_3,Oct2019,10/3/2019,1,5,AR5,1,A,3,"3,877",,,,,,,50,,,,,0.65,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR2_4,AR,AR,4.00,AR_2_4,Oct2019,10/4/2019,1,2,AR2,1,A,4,"3,877",,,,,,,50,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,12.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR3_4,AR,AR,4.00,AR_3_4,Oct2019,10/4/2019,1,3,AR3,1,A,4,"3,877",,,,,,,50,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,18.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR4_4,AR,AR,4.00,AR_4_4,Oct2019,10/4/2019,1,4,AR4,1,A,4,"3,877",,,,,,,50,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,15.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR5_4,AR,AR,4.00,AR_5_4,Oct2019,10/4/2019,1,5,AR5,1,A,4,"3,877",,,,,,,50,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,15.29051988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR1_8,AR,AR,8.00,AR_1_5,Oct2019,10/8/2019,2,1,AR1,1,A,5,"3,877",,,,,,,50,7.85,,,22.5,0.31,,100,1.07E+03,1.10E+03,1.10E+03,5.59E+02,5.41E+02,4.23E+02,1.00,3.81E+02,1.09E+03,,,,,,,,,,,,5755,5775,5705,,0.627598133,5745,0.00097362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR2_8,AR,AR,8.00,AR_2_5,Oct2019,10/8/2019,2,2,AR2,1,A,5,"3,877",,,,,,,50,8.01,,,22.1,0.63,,100,2.10E+03,2.03E+03,1.94E+03,7.52E+02,9.21E+02,8.45E+02,1.00,8.39E+02,2.02E+03,,,,,,,,,,,,5390,5474,8775,,29.49038451,6546.333333,0.001125474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR3_8,AR,AR,8.00,AR_3_5,Oct2019,10/8/2019,2,3,AR3,1,A,5,"3,877",,,,,,,50,7.95,,,22.3,0.45,,100,2.04E+03,2.31E+03,1.79E+03,9.58E+02,1.22E+03,1.43E+03,1.00,1.20E+03,2.05E+03,,,,,,,,,,,,7118,6047,6348,,8.492028321,6504.333333,0.001117462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR4_8,AR,AR,8.00,AR_4_5,Oct2019,10/8/2019,2,4,AR4,1,A,5,"3,877",,,,,,,50,7.87,,,22.1,0.64,,100,1.15E+03,1.06E+03,9.12E+02,6.27E+02,6.42E+02,5.60E+02,1.00,6.10E+02,1.04E+03,,,,,,,,,,,,6039,5792,6209,,3.48694298,6013.333333,0.001024226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR5_8,AR,AR,8.00,AR_5_5,Oct2019,10/8/2019,2,5,AR5,1,A,5,"3,877",,,,,,,50,6.18,,,21.7,0.55,,100,1.90E+04,1.96E+04,1.82E+04,1.59E+04,1.06E+04,7.99E+03,1.00,1.15E+04,1.89E+04,,,,,,,,,,,,5407,4442,4756,,10.11043431,4868.333333,0.000810158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
