bins,bin_tax_name
ARSTAG_AR_4_27_bin_23_1,Xanthobacteraceae_1
ARSTAG_AR_4_27_bin_26_4,Hyphomicrobium_3
ARSTAG_AR_4_27_bin_3_2,Nitrosomonas oligotropha_1
ARSTAG_AR_4_27_bin_5_5,Rhodovarius_1
ARSTAG_ARBF_1_post_bin_10,Bryobacteraceae_1
ARSTAG_ARBF_1_post_bin_18_1,Pirellulales_1
ARSTAG_ARBF_1_post_bin_2_3,Bradyrhizobium_1
ARSTAG_ARBF_1_post_bin_26_2,Sphingomonas_1
ARSTAG_ARBF_1_post_bin_27,Caulobacter_1
ARSTAG_ARBF_1_post_bin_3,Alphaproteobacteria_2
ARSTAG_ARBF_1_post_bin_31_1,Bosea_1
ARSTAG_ARBF_1_post_bin_36_2,Hyphomicrobium_2
ARSTAG_ARBF_1_post_bin_mycob_7,Mycobacterium_3
ARSTAG_ARBF_12345_pre_bin_16_2,Sphingomonas_2
ARSTAG_ARBF_12345_pre_bin_2_2,Sphingomonas_3
ARSTAG_ARBF_12345_pre_bin_26,Obscuribacteraceae_1
ARSTAG_ARBF_12345_pre_bin_30,Obscuribacteraceae_2
ARSTAG_ARBF_12345_pre_bin_4_1,Methylobacterium_1
ARSTAG_ARBF_12345_pre_bin_40_2,Rhizobiales_1
ARSTAG_ARBF_12345_pre_bin_nitr_1,Nitrospira_3
ARSTAG_ARBF_2_post_bin_13_1,Tabrizicola_1
ARSTAG_ARBF_2_post_bin_13_2,Hylemonella_1
ARSTAG_ARBF_2_post_bin_16_2,Reyranella_1
ARSTAG_ARBF_2_post_bin_29_1,Bryobacteraceae_2
ARSTAG_ARBF_2_post_bin_3_2,Methylophilus_1
ARSTAG_ARBF_2_post_bin_31_2,Sphingopyxis_1
ARSTAG_ARBF_2_post_bin_43_1,Mycobacterium_4
ARSTAG_ARBF_2_post_bin_5_1,Nitrosomonas oligotropha_2
ARSTAG_ARBF_2_post_bin_8_1,Hyphomicrobium zavarzinii_1
ARSTAG_ARBF_3_post_bin_1,Phenylobacterium_1
ARSTAG_ARBF_3_post_bin_30_2,Bosea_2
ARSTAG_ARBF_3_post_bin_38_2,Obscuribacter phosphatis_1
ARSTAG_ARBF_3_post_bin_43_4,Burkholderiales_1
ARSTAG_ARBF_3_post_bin_44_4,Mycobacterium_5
ARSTAG_ARBF_3_post_bin_9_1,Firmicutes_1
ARSTAG_ARBF_3_post_bin_9_2,Alphaproteobacteria_3
ARSTAG_ARBF_4_post_bin_0_2,Obscuribacteraceae_4
ARSTAG_ARBF_4_post_bin_1_2,Hyphomicrobium_1
ARSTAG_ARBF_4_post_bin_1_3,Afipia_1
ARSTAG_ARBF_4_post_bin_12_1,Parvularculaceae_1
ARSTAG_ARBF_4_post_bin_18_3,Sphingomonas_4
ARSTAG_ARBF_4_post_bin_18_5,Bradyrhizobium_2
ARSTAG_ARBF_4_post_bin_20,Planctomycetes_1
ARSTAG_ARBF_4_post_bin_21_1,Mycobacterium_6
ARSTAG_ARBF_4_post_bin_22,Mycobacterium_7
ARSTAG_ARBF_4_post_bin_26,Novosphingobium_1
ARSTAG_ARBF_4_post_bin_33,Nitrospira_4
ARSTAG_ARBF_4_post_bin_7,Pirellulales_2
ARSTAG_ARBF_5_post_bin_12,Desulfobacterota binatia_1
ARSTAG_ARBF_5_post_bin_15_2,Novosphingobium_2
ARSTAG_ARBF_5_post_bin_20_5,Phycisphaerales_2
ARSTAG_ARBF_5_post_bin_21_2,Obscuribacteraceae_5
ARSTAG_ARBF_5_post_bin_21_3,Vampirovibrionia_1
ARSTAG_ARBF_5_post_bin_39_3,Hyphomicrobium facile_1
ARSTAG_ARBF_5_post_bin_43_2,Sphingopyxis_2
ARSTAG_ARBF_5_post_bin_5,Mycobacterium_1
ARSTAG_CONTROL_BFSLIDECONTROL_41_bin_18,Burkholderia_1
ARSTAG_CONTROL_BFSLIDECONTROL_41_bin_20_3,Hyphomicrobium denitrificans_1
ARSTAG_CONTROL_BFSLIDECONTROL_41_bin_meth_1,Methylobacterium_2
ARSTAG_CONTROL_BFSLIDECONTROL_41_bin_n_1,Nitrospira_1
ARSTAG_CONTROL_MOCK1E10_111821_bin_1,Listeria_1
ARSTAG_CONTROL_MOCK1E10_111821_bin_1_2,Bacillus_1
ARSTAG_CONTROL_MOCK1E10_111821_bin_3,Pseudomonas_1
ARSTAG_CONTROL_MOCK1E8_111821_bin_0,Staphylococcus_1
ARSTAG_CONTROL_MOCK1E8_111821_bin_1,Limosilactobacillus_1
ARSTAG_CONTROL_MOCK1E8_111821_bin_9,Enterococcus_1
ARSTAG_TAPRES_TAPRES_23_bin_11,Alphaproteobacteria_1
ARSTAG_TAPRES_TAPRES_23_bin_31_4,Methylocystis_1
ARSTAG_TAPRES_TAPRES_23_bin_40_1,Mycobacterium iranicum_1
ARSTAG_TAPRES_TAPRES_23_bin_8_1,Obscuribacteraceae_3
ARSTAG_TAPRES_TAPRES_23_bin_mycob_1_3,Mycobacterium_2
ARSTAG_TAPRES_TAPRES_23_bin_unknown_1,Thiothrix_1
ARSTAG_TAPRES_TAPRES_40_bin_1_5,Rhodocyclaceae_1
ARSTAG_TAPRES_TAPRES_40_bin_11,Rhodocyclaceae_2
ARSTAG_TAPRES_TAPRES_40_bin_13_3,Gallionella_1
ARSTAG_TAPRES_TAPRES_40_bin_29_1,Gemmataceae_1
ARSTAG_TAPRES_TAPRES_40_bin_33_1,Gammaproteobacteria_1
ARSTAG_TAPRES_TAPRES_40_bin_35_2,Pirellulales_3
ARSTAG_TAPRES_TAPRES_41_bin_0_1,Rhodocyclaceae_3
ARSTAG_TAPRES_TAPRES_41_bin_0_4,Rhodobacteraceae_1
ARSTAG_TAPRES_TAPRES_41_bin_1,Obscuribacter phosphatis_2
ARSTAG_TAPRES_TAPRES_41_bin_21_1,Hyphomicrobiaceae_1
ARSTAG_TAPRES_TAPRES_41_bin_21_2,Hyphomicrobium_4
ARSTAG_TAPRES_TAPRES_41_bin_21_3,Hyphomicrobium_5
ARSTAG_TAPRES_TAPRES_41_bin_22_2,Chryseoglobus_1
ARSTAG_TAPRES_TAPRES_41_bin_26_2,Lacibacter
ARSTAG_TAPRES_TAPRES_41_bin_27_2,Sphingomonas_5
ARSTAG_TAPRES_TAPRES_41_bin_28_3,Parvularculaceae_2
ARSTAG_TAPRES_TAPRES_41_bin_33_1,Phycisphaerales_1
ARSTAG_TAPRES_TAPRES_41_bin_nitro_3,Nitrospira_2
