file_name,AR,date,control_or_sample,replicate,micr_replicate,,,,,,,,,,,,,,,,,
100520_syto_sypro_conA_AR1_1.czi,1,100520,sample,A,1,,,,,,,,,,,,,,,,,
100520_syto_sypro_conA_AR1_2.czi,1,100520,sample,A,2,,,,,,,,,,,,,,,,,
100520_syto_sypro_conA_AR1_3.czi,1,100520,sample,A,3,,,,,,,,,,,,,,,,,
100520_syto_sypro_conA_AR1_4.czi,1,100520,sample,A,4,,,,,,,,,,,,,,,,,
100520_syto_sypro_conA_AR1_5.czi,1,100520,sample,A,5,,,,,,,,,,,,,,,,,
100520_syto_sypro_conA_AR1_6.czi,1,100520,sample,A,6,,,,,,,,,,,,,,,,,
100520_syto_sypro_conA_AR1_7.czi,1,100520,sample,A,7,,,,,,,,,,,,,,,,,
100520_syto_sypro_conA_AR2_1.czi,2,100520,sample,A,1,,,,,,,,,,,,,,,,,
100520_syto_sypro_conA_AR2_2.czi,2,100520,sample,A,2,,,,,,,,,,,,,,,,,
100520_syto_sypro_conA_AR2_3.czi,2,100520,sample,A,3,,,,,,,,,,,,,,,,,
100520_syto_sypro_conA_AR2_4.czi,2,100520,sample,A,4,,,,,,,,,,,,,,,,,
100520_syto_sypro_conA_AR2_5.czi,2,100520,sample,A,5,,,,,,,,,,,,,,,,,
100520_syto_sypro_conA_AR2_6.czi,2,100520,sample,A,6,,,,,,,,,,,,,,,,,
100520_syto_sypro_conA_AR3_1.czi,3,100520,sample,A,1,,,,,,,,,,,,,,,,,
100520_syto_sypro_conA_AR3_4.czi,3,100520,sample,A,4,,,,,,,,,,,,,,,,,
100520_syto_sypro_conA_AR3_5.czi,3,100520,sample,A,5,,,,,,,,,,,,,,,,,
100520_syto_sypro_conA_AR3_6.czi,3,100520,sample,A,6,,,,,,,,,,,,,,,,,
100520_syto_sypro_conA_AR4_1.czi,4,100520,sample,A,1,,,,,,,,,,,,,,,,,
100520_syto_sypro_conA_AR4_2.czi,4,100520,sample,A,2,,,,,,,,,,,,,,,,,
100520_syto_sypro_conA_AR4_3.czi,4,100520,sample,A,3,,,,,,,,,,,,,,,,,
100520_syto_sypro_conA_AR4_4.czi,4,100520,sample,A,4,,,,,,,,,,,,,,,,,
100520_syto_sypro_conA_AR4_5.czi,4,100520,sample,A,5,,,,,,,,,,,,,,,,,
100520_syto_sypro_conA_AR4_6.czi,4,100520,sample,A,6,,,,,,,,,,,,,,,,,
100520_syto_sypro_conA_AR5_1.czi,5,100520,sample,A,1,,,,,,,,,,,,,,,,,
