sample_id_old,ggkbase_project_name,sample_id
tapres_tapres_23,ARSTAG_TAPRES_TAPRES_23,tapres_134
AR_1_23,ARSTAG_AR_1_23,AR1_134
AR_2_23,ARSTAG_AR_2_23,AR2_134
AR_3_23,ARSTAG_AR_3_23,AR3_134
AR_4_23,ARSTAG_AR_4_23,AR4_134
AR_5_23,ARSTAG_AR_5_23,AR5_134
tapres_tapres_27,ARSTAG_TAPRES_TAPRES_27,tapres_162
AR_1_27,ARSTAG_AR_1_27,AR1_162
AR_2_27,ARSTAG_AR_2_27,AR2_162
AR_3_27,ARSTAG_AR_3_27,AR3_162
AR_4_27,ARSTAG_AR_4_27,AR4_162
AR_5_27,ARSTAG_AR_5_27,AR5_162
tapres_tapres_40,ARSTAG_TAPRES_TAPRES_40,tapres_372
AR_1_40,ARSTAG_AR_1_40,AR1_372
AR_2_40,ARSTAG_AR_2_40,AR2_372
AR_3_40,ARSTAG_AR_3_40,AR3_372
AR_4_40,ARSTAG_AR_4_40,AR4_372
AR_5_40,ARSTAG_AR_5_40,AR5_372
tapres_tapres_41,ARSTAG_TAPRES_TAPRES_41,tapres_387
AR_1_41,ARSTAG_AR_1_41,AR1_387
AR_2_41,ARSTAG_AR_2_41,AR2_387
AR_3_41,ARSTAG_AR_3_41,AR3_387
AR_4_41,ARSTAG_AR_4_41,AR4_387
AR_5_41,ARSTAG_AR_5_41,AR5_387
bf_1_40,ARSTAG_BF_1_40,BF1_372
bf_2_40,ARSTAG_BF_2_40,BF2_372
bf_3_40,ARSTAG_BF_3_40,BF3_372
bf_4_40,ARSTAG_BF_4_40,BF4_372
bf_5_40,ARSTAG_BF_5_40,BF5_372
bf_1_41,ARSTAG_BF_1_41,BF1_387
bf_2_41,ARSTAG_BF_2_41,BF2_387
bf_3_41,ARSTAG_BF_3_41,BF3_387
bf_4_41,ARSTAG_BF_4_41,BF4_387
bf_5_41,ARSTAG_BF_5_41,BF5_387
bf_slidecontrol_41,ARSTAG_CONTROL_BFSLIDECONTROL_41,slidecontrol_387
control_manifB_41,ARSTAG_CONTROL_MANIFB_41,manifcontrol_387
mock1e10_111821_control,ARSTAG_CONTROL_MOCK1E10_111821,control_mock1e10
mock1e8_111821_control,ARSTAG_CONTROL_MOCK1E8_111821,control_mock1e8
,,
,,
,,
,,
,,
