Well,Omit,sample_id_old,Target,Dye,Task,Cq,Quantity,plate_id,study,template_vol,elution_vol,,,,,,,,,,,
A1,FALSE,NTC,Ps,FAM,Negative Control,Undetermined,,Ps_samples_1,,1,100,,,,,,,,,,,
A2,FALSE,NTC,Ps,FAM,Negative Control,Undetermined,,Ps_samples_1,,1,100,,,,,,,,,,,
A3,FALSE,NTC,Ps,FAM,Negative Control,Undetermined,,Ps_samples_1,,1,100,,,,,,,,,,,
A4,FALSE,AR_1_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
A5,FALSE,AR_1_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
A6,FALSE,AR_1_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
A7,FALSE,bf_1_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
A8,FALSE,bf_1_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
A9,FALSE,bf_1_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
A10,FALSE,bf_1_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
A11,FALSE,bf_1_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
A12,FALSE,bf_1_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
B1,FALSE,5,Ps,FAM,Standard,Undetermined,5,Ps_samples_1,,1,100,,,,,,,,,,,
B2,FALSE,5,Ps,FAM,Standard,Undetermined,5,Ps_samples_1,,1,100,,,,,,,,,,,
B3,FALSE,5,Ps,FAM,Standard,36.61953054,5,Ps_samples_1,,1,100,,,,,,,,,,,
B4,FALSE,AR_2_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
B5,FALSE,AR_2_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
B6,FALSE,AR_2_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
B7,FALSE,bf_2_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
B8,FALSE,bf_2_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
B9,FALSE,bf_2_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
B10,FALSE,bf_2_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
B11,FALSE,bf_2_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
B12,FALSE,bf_2_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
C1,FALSE,10,Ps,FAM,Standard,36.2038965,10,Ps_samples_1,,1,100,,,,,,,,,,,
C2,FALSE,10,Ps,FAM,Standard,Undetermined,10,Ps_samples_1,,1,100,,,,,,,,,,,
C3,FALSE,10,Ps,FAM,Standard,35.52859744,10,Ps_samples_1,,1,100,,,,,,,,,,,
C4,FALSE,AR_3_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
C5,FALSE,AR_3_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
C6,FALSE,AR_3_41,Ps,FAM,Unknown,38,1.874498109,Ps_samples_1,AR,1,100,,,,,,,,,,,
C7,FALSE,bf_3_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
C8,FALSE,bf_3_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
C9,FALSE,bf_3_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
C10,FALSE,bf_3_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
C11,FALSE,bf_3_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
C12,FALSE,bf_3_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
D1,FALSE,1.00E+02,Ps,FAM,Standard,32.35627077,100,Ps_samples_1,,1,100,,,,,,,,,,,
D2,FALSE,1.00E+02,Ps,FAM,Standard,31.41744629,100,Ps_samples_1,,1,100,,,,,,,,,,,
D3,FALSE,1.00E+02,Ps,FAM,Standard,32.51213635,100,Ps_samples_1,,1,100,,,,,,,,,,,
D4,FALSE,AR_4_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
D5,FALSE,AR_4_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
D6,FALSE,AR_4_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
D7,FALSE,bf_4_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
D8,FALSE,bf_4_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
D9,FALSE,bf_4_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
D10,FALSE,bf_4_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
D11,FALSE,bf_4_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
D12,FALSE,bf_4_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
E1,FALSE,1.00E+03,Ps,FAM,Standard,29.09540601,1000,Ps_samples_1,,1,100,,,,,,,,,,,
